date,total_events,status
2020-12-13,72552,ok
2020-12-14,119518,ok
2020-12-15,135118,ok
2020-12-16,134022,ok
2020-12-17,132509,ok
2020-12-18,124284,ok
2020-12-19,79812,ok
2020-12-20,68222,ok
2020-12-21,115278,ok
2020-12-22,122642,ok
2020-12-23,123904,ok
2020-12-24,101877,ok
2020-12-25,60733,ok
2020-12-26,56351,ok
2020-12-27,58652,ok
2020-12-28,85807,ok
2020-12-29,99952,ok
2020-12-30,107131,ok
2020-12-31,100226,ok
2021-01-01,70996,ok
2021-01-02,60677,ok
2021-01-03,63829,ok
2021-01-04,105675,ok
2021-01-05,124082,ok
2021-01-06,128944,ok
2021-01-07,144185,ok
2021-01-08,133154,ok
2021-01-09,83422,ok
2021-01-10,73463,ok
2021-01-11,117057,ok
2021-01-12,133549,ok
2021-01-13,139757,ok
2021-01-14,135217,ok
2021-01-15,128781,ok
2021-01-16,81657,ok
2021-01-17,72843,ok
2021-01-18,108867,ok
2021-01-19,129504,ok
2021-01-20,141427,ok
2021-01-21,136907,ok
2021-01-22,127609,ok
2021-01-23,82371,ok
2021-01-24,71445,ok
2021-01-25,117572,ok
2021-01-26,132412,ok
2021-01-27,139344,ok
2021-01-28,135432,ok
2021-01-29,129183,ok
2021-01-30,82456,ok
2021-01-31,69685,ok
2021-02-01,117856,ok
2021-02-02,132558,ok
2021-02-03,136952,ok
2021-02-04,138271,ok
2021-02-05,132889,ok
2021-02-06,82121,ok
2021-02-07,70813,ok
2021-02-08,111925,ok
2021-02-09,131715,ok
2021-02-10,135375,ok
2021-02-11,131200,ok
2021-02-12,122505,ok
2021-02-13,84391,ok
2021-02-14,72782,ok
2021-02-15,104791,ok
2021-02-16,124933,ok
2021-02-17,133427,ok
2021-02-18,132364,ok
2021-02-19,131292,ok
2021-02-20,83679,ok
2021-02-21,72039,ok
2021-02-22,117015,ok
2021-02-23,137259,ok
2021-02-24,139022,ok
2021-02-25,133888,ok
2021-02-26,137730,ok
2021-02-27,88291,ok
2021-02-28,73381,ok
2021-03-01,118117,ok
2021-03-02,136881,ok
2021-03-03,139326,ok
2021-03-04,136437,ok
2021-03-05,128042,ok
2021-03-06,84413,ok
2021-03-07,71941,ok
2021-03-08,114985,ok
2021-03-09,129501,ok
2021-03-10,137813,ok
2021-03-11,137425,ok
2021-03-12,128094,ok
2021-03-13,81079,ok
2021-03-14,70057,ok
2021-03-15,122183,ok
2021-03-16,135641,ok
2021-03-17,139874,ok
2021-03-18,142614,ok
2021-03-19,137514,ok
2021-03-20,82796,ok
2021-03-21,71373,ok
2021-03-22,120916,ok
2021-03-23,137553,ok
2021-03-24,138944,ok
2021-03-25,138272,ok
2021-03-26,135855,ok
2021-03-27,82832,ok
2021-03-28,71203,ok
2021-03-29,111064,ok
2021-03-30,129482,ok
2021-03-31,132986,ok
2021-04-01,129142,ok
2021-04-02,112433,ok
2021-04-03,69804,ok
2021-04-04,62978,ok
2021-04-05,96837,ok
