date,conflict_events,weighted_events,avg_goldstein,total_mentions,gdelt_total,events_per_100k,weighted_per_100k,goldstein_inv,idx_count,idx_weighted,idx_goldstein,MTI,MTI_smooth,category,13,14,15,16,17,18,19
2023-05-01,65,128.3,-7.050769230769231,557,4578929,1.4195459243853747,2.8019652630560556,7.050769230769231,98.4758225194735,86.58459344833788,96.66514093003666,92.16807166601834,177.9560002769102,Low,12,12,13,3,7,2,16
2023-06-01,74,144.2,-6.701351351351351,778,4233059,1.7481447813507915,3.4065199658214067,6.701351351351351,121.27117007586823,105.26616807254531,91.87466666376729,107.38936839178659,162.7896225049016,Medium,17,6,17,4,12,3,15
2023-07-01,139,346.5,-7.533093525179855,1542,4007461,3.4685303238135066,8.646372353966763,7.533093525179855,240.61664417032503,267.1848380642052,103.27774508246283,226.4329612996927,141.99680045249917,High,13,10,16,1,38,2,59
2023-08-01,140,330.8,-7.5600000000000005,1060,4024841,3.478398277099642,8.218958214746868,7.5600000000000005,241.3011974487663,253.97715131434794,103.64662939781803,220.10826077136747,184.64353015428222,High,21,16,18,10,13,0,62
2023-09-01,176,357.8,-6.934659090909091,2549,4144156,4.246944371785232,8.633844864913387,6.934659090909091,294.61628047509487,266.79772136403886,95.07328581953232,240.79840198845437,229.11320801983814,Severe,41,29,16,7,32,5,46
2023-10-01,144,352.5,-7.734027777777778,1039,4606957,3.125707489781216,7.651471459360268,7.734027777777778,216.834560068746,236.44102741933798,106.0325278883285,204.47738730795848,221.79468335592674,High,32,6,9,8,19,2,68
2023-11-01,85,193.2,-7.631764705882354,563,4164469,2.041076545413113,4.6392469243978045,7.631764705882354,141.59224311237972,143.35913230320435,104.6305143018434,135.08334194568477,193.45304374736588,Medium,18,11,6,6,8,2,34
2023-12-01,158,359.2,-7.517088607594937,1681,3643165,4.3368883923731145,9.859558927471031,7.517088607594937,300.8558189471843,304.673977429652,103.05831971718948,263.2053983424192,200.92204253202078,Severe,41,15,11,7,16,3,65
2024-01-01,142,300.6,-7.057042253521127,1477,3871400,3.6679237485147493,7.76463294932066,7.057042253521127,254.44883597555398,239.93787362632563,96.7511432665935,215.65381625914773,204.64751884908387,High,35,7,17,18,19,5,41
2024-02-01,60,117.9,-6.465,537,3908811,1.5349936336139047,3.0162624900513224,6.465,106.48458639880407,93.20667350091281,88.63431998107059,96.27557666631175,191.7115970892929,Low,20,0,6,7,14,0,13
2024-03-01,110,262.9,-7.8981818181818175,1082,4032913,2.7275569792851964,6.518861180491619,7.8981818181818175,189.21432014968883,201.4418067565197,108.28305870709994,179.1418111645865,163.69040136334863,Medium,25,11,6,1,11,9,47
2024-04-01,121,283.4,-7.735537190082645,1307,3937576,3.0729565600765545,7.197321397733021,7.735537190082645,213.17515666227806,222.4071637704916,106.05322173724004,196.36677323137724,157.26138702075846,High,25,6,22,2,11,3,52
2024-05-01,152,315.5,-7.100657894736842,1624,4015265,3.7855533819062996,7.857513763101563,7.100657894736842,262.6089628879063,242.80801895125336,97.34910810800004,219.65651996359858,198.3883681198541,High,42,9,29,5,16,5,46
2024-06-01,132,336.7,-7.995454545454546,1058,3629613,3.6367513561363154,9.276471072811344,7.995454545454546,252.28636491587685,286.6557580369862,109.61665530950093,240.9371195551563,218.986804250044,Severe,18,6,9,5,27,7,60
2024-07-01,132,345.6,-8.079545454545455,1134,3668546,3.5981557816093894,9.420626046395494,8.079545454545455,249.6089376612452,291.11034566014825,110.7695308769971,242.59176030384708,234.39513327420062,Severe,13,1,15,10,25,3,65
2024-08-01,156,390.2,-8.049999999999999,1628,3662397,4.259505455033958,10.654224542014424,8.049999999999999,295.48765982493126,329.23024158817617,110.36446648841734,275.33431203925096,252.9543972994181,Severe,25,12,23,2,12,1,81
2024-09-01,101,238.9,-7.805940594059406,916,3679829,2.7446927561036127,6.492149499338149,7.805940594059406,190.4030521855575,200.61637894572942,107.01844336691254,178.83279380191445,232.25295538167083,Medium,18,7,19,1,9,3,44
2024-10-01,140,341.1,-7.879285714285714,1357,3936846,3.5561462145077556,8.664296241204255,7.879285714285714,246.6946771199305,267.73871091549796,108.0239955486896,229.48255770346603,227.8832211815438,High,22,6,20,13,9,9,61
2024-11-01,103,241.6,-7.6640776699029125,706,3547568,2.903397482444311,6.810299337461608,7.6640776699029125,201.41261390219935,210.4476480027659,105.07352089001587,186.6623123500459,198.3258879518088,Medium,12,4,27,4,14,1,41
2024-12-01,89,204.8,-7.582022471910112,1435,3488855,2.5509801926419984,5.87012071295597,7.582022471910112,176.96494941512574,181.39483102285405,103.94855466031687,164.5766112680281,193.57382710718002,Medium,17,6,19,0,9,1,37
2025-01-01,69,160.4,-7.466666666666668,610,3667945,1.8811623402204776,4.37302086045456,7.466666666666668,130.49877821041756,135.13237952514328,102.36704138056103,127.18923150180912,159.47605170662771,Medium,10,4,11,3,12,6,23
2025-02-01,66,155.5,-7.49090909090909,492,3536167,1.8664276885113176,4.397416750962271,7.49090909090909,129.47661547395958,135.8862462090994,102.69940190452387,127.32598812764235,139.69727696582652,Medium,17,1,8,0,7,8,25
2025-03-01,65,153.7,-7.478461538461539,453,3896037,1.6683619791085147,3.9450344029073645,7.478461538461539,115.7365290764103,121.90700734915107,102.52874755856605,116.18021190921183,123.56514384622109,Medium,14,0,11,1,10,3,26
2025-04-01,69,161.3,-7.5260869565217385,564,3780825,1.8249985122294738,4.2662646380089,7.5260869565217385,126.60261742953193,131.83346492387656,103.1816859257091,124.53385487593968,122.68001830426464,Medium,15,2,13,1,8,0,30
2025-05-01,82,178.1,-7.418292682926829,733,3867054,2.1204772418487043,4.605573131381149,7.418292682926829,147.10037691474287,142.3185656278593,101.70384027405586,135.6301639431637,125.4480769094384,Medium,8,13,20,5,7,2,27
2025-06-01,23,35.0,-5.51304347826087,128,1595140,1.4418797096179645,2.194164775505598,5.51304347826087,100.02514743596382,67.80271959496275,75.58311828642356,79.02552768555523,113.06318216821954,Low,8,0,8,1,6,0,0
2025-07-01,45,98.8,-7.222222222222222,318,3543285,1.270007916382679,2.7883729364135257,7.222222222222222,88.10216846360703,86.1645717971498,99.01573943060218,89.31608432377745,101.32392531749878,Low,11,1,10,1,5,1,16
2025-08-01,100,246.7,-7.706,789,3549182,2.817550635611248,6.950897418052948,7.706,195.45730192013056,214.79232272380094,105.64827065338437,187.1630060686165,118.5015393593164,Medium,15,7,6,6,19,4,43
2025-09-01,78,202.4,-8.078205128205129,763,3531453,2.208722585292796,5.731351939272588,8.078205128205129,153.22207585374187,177.1066844097889,110.7511551749511,156.67019599600724,144.3830954628004,Medium,14,7,3,1,8,2,43
2025-10-01,65,158.0,-7.661538461538462,485,3671526,1.7703810350246736,4.3033877466753605,7.661538461538462,122.81372909609527,132.98062021298892,105.0387086693394,124.34217056919093,156.05845754460492,Medium,11,4,10,1,8,1,30
2025-11-01,75,171.1,-7.5,436,3218988,2.3299248086665747,5.315335130171346,7.5,161.630038169642,164.25119088935222,102.82403710100996,151.17941431577069,144.06392696032296,Medium,23,7,1,5,4,3,32
2025-12-01,78,171.9,-7.5294871794871785,760,3004321,2.596260519431845,5.72175876013249,7.5294871794871785,180.10610698388234,176.8102419354034,103.22830254602246,163.0826135720709,146.2013994856775,Medium,18,4,15,8,2,1,30
2026-01-01,59,134.9,-7.420338983050848,339,3309934,1.7825128839427011,4.07560996684526,7.420338983050848,123.65533187932472,125.9419724741359,101.7318947860388,120.41396475807312,144.89199754863822,Medium,16,1,10,2,4,1,25
2026-02-01,47,98.9,-7.006382978723405,227,3079386,1.5262782905423353,3.211679211375255,7.006382978723405,105.8799912513214,99.245319872419,96.05661111308534,100.59797953422299,128.03151928812233,Low,13,1,9,1,8,1,14
2026-03-01,35,90.5,-8.214285714285714,257,3508491,0.9975798712323902,2.579456524186609,8.214285714285714,69.20346616543193,79.70876634664839,112.61680253920136,83.13878353079406,101.38357594103006,Low,4,5,2,0,5,0,19
2026-04-01,36,79.8,-7.069444444444445,212,3080608,1.1686004840602893,2.5903977396669746,7.069444444444445,81.06739760062214,80.04686500429014,96.92117571187791,83.72788692470729,89.1548833299081,Low,4,6,4,0,10,2,10
2026-05-01,31,69.0,-7.112903225806452,174,3101213,0.9996088627256496,2.224935855744188,7.112903225806452,69.34422005211599,68.75358843961024,97.51699002482881,74.68345824040567,80.51670956530234,Low,11,0,3,2,2,0,13
2026-06-01,41,87.1,-7.360975609756098,1066,2891095,1.4181477952125405,3.012699340561275,7.360975609756098,98.37883240600259,93.09656726438692,100.91803055962538,96.24553946591931,84.88562821034408,Low,9,7,2,3,4,5,11
2026-07-01,66,157.4,-7.648484848484848,401,2211249,2.9847384894238504,7.118149064171425,7.648484848484848,207.0553496737388,219.96062940257076,104.85974531028248,193.0688686654635,121.33262212392951,High,12,7,4,4,6,7,26
